web-scraper-order,web-scraper-start-url,vehicle-name,vehicle-desc,mileage,price,pagination
"1712863802-1774","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2023 BMW iX XDrive40,SPORT PACKAGE,PREMIUM ESSENTIAL PACKAGE S","Le BMW iX xDrive40 2023 est un SUV électrique sophistiqué et élégant qui allie performances exceptionnelles et design moderne. La couleur extérieure, Dark Graphite Metallic (A90), ajoute une touche de raffinement avec sa teinte sombre et métallique.

À l'intérieur, le véhicul...","20,946 km","$74,900",""
"1712863802-1775","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2023 Porsche Cayenne E-Hybrid Coupe / Air Suspension / Trailer Hitch /","*** CERTIFIÉ - GARANTIE PROLONGÉE de 2 ANS/ km illimité *** 

Porsche Cayenne E-Hybrid Coupe 2023 équipé de jantes 21"" Sport design, ensemble Premium incluant le système audio BOSE et bien plus. 

Cayenne E-Hybrid Coupe

Leather Interior in Graphite Blue/Chalk

Dolomite Silver...","11,942 km","$129,900",""
"1712863802-1776","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2022 Hyundai Ioniq Preferred","","39,169 km","$38,895",""
"1712863802-1777","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2022 Tesla Model Y Performance AWD","Tesla model Y performance, just recently serviced by Tesla","66,000 km","$57,000",""
"1712863802-1778","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2024 Lexus RZ LUXURY","Ce modèle vous intéresse ? Contactez-nous pour en confirmer la disponibilité, profiter des offres en cours et obtenir le meilleur prix pour votre véhicule d'échange ! Depuis 1922, nous sommes l'adresse de choix pour tous les services automobiles. Are you interested in this mod...","1,000 km","$74,595",""
"1712863802-1779","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2024 Volkswagen ID.4 Pro S","PRO S TI ---- PRO S TI","1,000 km","$60,495",""
"1712863802-1780","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2019 Hyundai Ioniq Electric EV PREFERRED NAVIGATION CAMERA VOLANT CHAUFFANT","HYUNDAI IONIQ EV 2019 PREFERRED BLUETOOTH SIEGES CHAUFFANTS VOLANT CHAUFFANT AIR CLIMATISÉ RÉGULATEUR DE VITESSE COMMANDE AUDIO AU VOLANT MAGS NAVIGATION +++","73,954 km","$18,999",""
"1712863802-1781","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2021 Jeep Wrangler 4xe Unlimited Sahara 4xe hybrid PHEV","Jamais été accidenté.
Jeep wrangler unlimited 4xe hybrid.
4 portes
Gps cuir automatique. 
Inspection fait
phev

Nous sommes fiers d'être votre concessionnaire à St Eustache et dans les Laurentides depuis 4 générations.
Nous vous offrons jour après jour depuis plus de 100 ans u...","69,000 km","$44,950",""
"1712863802-1782","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2019 Chevrolet Bolt EV LT CERTIFIÉ ET INSPECTÉ EN 155 POINTS","50 ans d'expérience

Depuis 3 générations

Meilleurs prix garantis

Inspection certifiée 175 points

Nettoyage professionnel et complet

Livraison partout QC et CA

Financement rapide et facile

Tous échanges acceptés

Bienvenue chez Le Relais Chevrolet Buick GMC, votre conce...","105,831 km","$22,495",""
"1712863802-1783","https://www.autotrader.ca/cars/qc/montr%c3%a9al/?rcp=100&rcs=0&srt=35&prx=100&prv=Quebec&loc=H2R%202S5&fuel=Electric&hprc=True&wcp=True&sts=Used&inMarket=advancedSearch","2022 Hyundai Kona Electric Preferred Mags Détecteur d'angles morts Certifié","Très populaire VUS 100% électrique | Aucun accident rapporté | 1 propriétaire | Volant et sièges chauffants | Caméra de recul | Mags 17 | Véhicule certifié

Moteur électrique avec 415 km d'autonomie
Transmission automatique
Traction avant
Mags 17 pouces sur pneus 215/55R17
Siè...","72,087 km","$27,994",""
